order_id,user_id,order_timestamp,service_type,merchant_id,item_ids,price_subtotal,delivery_fee_before,delivery_fee_after,voucher_discount_pct,voucher_discount_amt,voucher_cashback_pct,voucher_cashback_amt,free_delivery_flag,promo_id_main,promo_id_delivery,total_spend
T00033,U00687,2025-06-29 14:18:09,GoFood,M00208,I00284|I00894,98142,6106.94,6106.94,15,14721.3,0,0.0,0,P009,,89527.64
T00034,U00192,2025-06-22 07:12:37,GoFood,M00209,I00776|I00222|I00347,212515,6990.75,0.0,0,0.0,10,21251.5,1,P011,P015,212515.0
T00035,U00088,2025-06-11 15:21:11,GoFood,M00191,I00590,22737,4864.05,4864.05,0,0.0,5,1136.85,0,P058,,27601.05
T00036,U00235,2025-06-05 16:52:46,GoRide,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00037,U00673,2025-06-29 14:23:07,GoFood,M00320,I00649|I00662|I00275,107275,7910.26,7910.26,0,0.0,0,0.0,0,,,115185.26
T00038,U00733,2025-06-29 13:01:41,GoFood,M00138,I00830|I00689|I00873,151040,6373.45,6373.45,0,0.0,0,0.0,0,,,157413.45
T00039,U00303,2025-06-10 16:10:39,GoCar,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00040,U00649,2025-06-19 12:29:56,GoFood,M00027,I00390,26026,4614.21,0.0,15,3903.9,0,0.0,1,P046,P057,22122.1
T00041,U00590,2025-06-08 17:46:38,GoRide,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00042,U00753,2025-06-01 20:27:22,GoRide,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00043,U00788,2025-06-04 23:54:16,GoFood,M00191,I00367|I00795,132267,3453.33,3453.33,0,0.0,15,19840.05,0,P026,,135720.33
T00044,U00759,2025-06-15 19:30:22,GoFood,M00128,I00179|I00598,129685,5473.0,5473.0,0,0.0,0,0.0,0,,,135158.0
T00045,U00009,2025-06-27 12:21:39,GoRide,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00046,U00211,2025-06-08 18:43:47,GoFood,M00118,I00008|I00109,93581,5390.44,5390.44,0,0.0,0,0.0,0,,,98971.44
T00047,U00662,2025-06-12 22:57:48,GoFood,M00036,I00455,55808,11430.6,11430.6,15,8371.2,0,0.0,0,P008,,58867.4
T00048,U00286,2025-06-10 12:03:14,GoFood,M00077,I00852|I00002|I00083,99885,7182.43,7182.43,0,0.0,15,14982.75,0,P011,,107067.43
T00049,U00182,2025-06-30 18:26:31,GoCar,,,0,0.0,0.0,10,0.0,0,0.0,0,P059,,5000.0
T00050,U00198,2025-06-20 10:10:05,GoRide,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00051,U00165,2025-06-20 17:28:25,GoRide,,,0,0.0,0.0,15,0.0,0,0.0,1,P059,P034,5000.0
T00052,U00520,2025-06-12 18:25:11,GoCar,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00053,U00298,2025-06-01 17:51:46,GoRide,,,0,0.0,0.0,15,0.0,0,0.0,1,P035,P010,5000.0
T00054,U00109,2025-06-17 13:42:47,GoFood,M00066,I00541|I00841|I00577,108204,11078.67,0.0,15,16230.6,0,0.0,1,P009,P013,91973.4
T00055,U00175,2025-06-07 22:16:49,GoFood,M00194,I00627|I00059,70717,11344.06,11344.06,15,10607.55,0,0.0,0,P046,,71453.51
T00056,U00002,2025-06-14 18:45:57,GoFood,M00075,I00039,76351,4446.39,4446.39,15,11452.65,0,0.0,0,P032,,69344.74
T00057,U00527,2025-06-16 20:10:29,GoRide,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00058,U00104,2025-06-06 12:28:18,GoFood,M00242,I00412|I00212|I00184,131538,8015.17,8015.17,0,0.0,0,0.0,0,,,139553.17
T00059,U00438,2025-06-22 20:01:31,GoFood,M00166,I00204,84454,3599.15,3599.15,0,0.0,10,8445.4,0,P050,,88053.15
T00060,U00094,2025-06-25 18:09:41,GoFood,M00219,I00273|I00707|I00216,155884,7591.12,7591.12,10,15588.4,0,0.0,0,P032,,147886.72
T00061,U00342,2025-06-17 16:51:13,GoRide,,,0,0.0,0.0,0,0.0,0,0.0,1,,P034,5000.0
T00062,U00688,2025-06-17 11:18:07,GoCar,,,0,0.0,0.0,15,0.0,0,0.0,1,P012,P003,5000.0
T00063,U00232,2025-06-12 13:03:43,GoFood,M00319,I00346|I00899|I00366,125513,5874.75,5874.75,0,0.0,0,0.0,0,,,131387.75
T00064,U00371,2025-06-27 14:42:06,GoRide,,,0,0.0,0.0,10,0.0,0,0.0,1,P046,P057,5000.0
T00065,U00267,2025-06-22 18:41:47,GoFood,M00172,I00040|I00130|I00440,340632,2637.99,2637.99,0,0.0,0,0.0,0,,,343269.99
T00066,U00170,2025-06-02 16:40:38,GoFood,M00171,I00385,57442,9974.57,9974.57,15,8616.3,0,0.0,0,P059,,58800.27
T00067,U00796,2025-06-28 15:29:00,GoFood,M00243,I00450,55048,11288.82,0.0,0,0.0,0,0.0,1,,P030,55048.0
T00068,U00586,2025-06-07 07:52:00,GoRide,,,0,0.0,0.0,10,0.0,0,0.0,1,P025,P015,5000.0
T00069,U00069,2025-06-23 12:14:47,GoFood,M00117,I00757|I00895,50320,3990.19,3990.19,0,0.0,0,0.0,0,,,54310.19
T00070,U00736,2025-06-21 23:33:07,GoFood,M00110,I00200|I00143|I00520,164466,5054.95,5054.95,0,0.0,0,0.0,0,,,169520.95
T00071,U00410,2025-06-26 13:56:44,GoFood,M00122,I00116|I00857|I00552,89469,8949.29,8949.29,0,0.0,0,0.0,0,,,98418.29
T00072,U00691,2025-06-13 23:05:10,GoCar,,,0,0.0,0.0,0,0.0,5,0.0,0,P019,,5000.0
T00073,U00779,2025-06-24 20:05:58,GoFood,M00134,I00883|I00309|I00478,132516,10876.53,10876.53,0,0.0,0,0.0,0,,,143392.53
T00074,U00291,2025-06-02 07:42:15,GoFood,M00044,I00171|I00124,190159,5287.76,5287.76,0,0.0,0,0.0,0,,,195446.76
T00075,U00002,2025-06-04 07:28:40,GoFood,M00081,I00167|I00226,95793,10664.56,0.0,10,9579.3,0,0.0,1,P053,P010,86213.7
T00076,U00342,2025-06-19 01:37:20,GoRide,,,0,0.0,0.0,20,0.0,0,0.0,0,P008,,5000.0
T00077,U00100,2025-06-26 19:31:22,GoCar,,,0,0.0,0.0,0,0.0,10,0.0,1,P017,P013,5000.0
T00078,U00318,2025-06-23 10:11:52,GoFood,M00218,I00399,21331,8660.61,0.0,10,2133.1,0,0.0,1,P040,P013,19197.9
T00079,U00770,2025-06-20 11:03:12,GoFood,M00166,I00782|I00511|I00577,129864,3571.04,0.0,0,0.0,0,0.0,1,,P018,129864.0
T00080,U00305,2025-06-11 22:18:57,GoFood,M00249,I00643|I00240|I00097,93687,11210.69,11210.69,15,14053.05,0,0.0,0,P036,,90844.64
T00081,U00503,2025-06-03 10:11:13,GoFood,M00304,I00361,45980,10569.63,10569.63,0,0.0,0,0.0,0,,,56549.63
T00082,U00703,2025-06-15 07:02:56,GoRide,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00083,U00631,2025-06-27 11:41:15,GoFood,M00200,I00759,53658,6910.02,6910.02,0,0.0,0,0.0,0,,,60568.02
T00084,U00638,2025-06-18 16:27:52,GoFood,M00007,I00628|I00895|I00524,115449,7144.97,0.0,0,0.0,0,0.0,1,,P030,115449.0
T00085,U00461,2025-06-02 14:31:54,GoCar,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00086,U00771,2025-06-23 21:03:57,GoRide,,,0,0.0,0.0,10,0.0,0,0.0,0,P054,,5000.0
T00087,U00584,2025-06-17 09:52:33,GoRide,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00088,U00131,2025-06-01 01:35:14,GoRide,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00089,U00193,2025-06-12 17:55:46,GoFood,M00202,I00893|I00048|I00673,76935,2774.43,0.0,20,15387.0,0,0.0,1,P032,P013,61548.0
T00090,U00080,2025-06-07 21:14:12,GoFood,M00007,I00628,35928,3578.9,3578.9,20,7185.6,0,0.0,0,P052,,32321.3
T00091,U00376,2025-06-03 21:16:30,GoFood,M00238,I00720,45593,4827.91,4827.91,0,0.0,0,0.0,0,,,50420.91
T00092,U00507,2025-06-25 19:39:38,GoFood,M00019,I00135|I00269,97382,3635.64,0.0,0,0.0,5,4869.1,1,P028,P057,97382.0
T00093,U00751,2025-06-27 14:11:31,GoFood,M00030,I00317|I00438|I00128,109770,4018.68,4018.68,10,10977.0,0,0.0,0,P038,,102811.68
T00094,U00672,2025-06-04 17:37:22,GoCar,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00095,U00106,2025-06-09 20:54:56,GoFood,M00056,I00724|I00464,121798,3501.84,3501.84,15,18269.7,0,0.0,0,P021,,107030.14
T00096,U00495,2025-06-03 14:18:17,GoCar,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00097,U00376,2025-06-24 12:13:13,GoFood,M00155,I00571,133829,3847.49,3847.49,0,0.0,0,0.0,0,,,137676.49
T00098,U00762,2025-06-06 20:11:58,GoCar,,,0,0.0,0.0,10,0.0,0,0.0,0,P031,,5000.0
T00099,U00643,2025-06-21 09:38:49,GoRide,,,0,0.0,0.0,15,0.0,0,0.0,1,P012,P015,5000.0
T00100,U00542,2025-06-25 20:00:14,GoFood,M00214,I00768|I00092,148117,6379.21,6379.21,0,0.0,0,0.0,0,,,154496.21
T00101,U00130,2025-06-27 23:15:22,GoFood,M00115,I00637|I00590,50244,9851.44,9851.44,0,0.0,0,0.0,0,,,60095.44
T00102,U00557,2025-06-13 17:56:08,GoRide,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00103,U00245,2025-06-05 18:53:58,GoFood,M00064,I00886|I00085|I00528,113041,8731.11,0.0,0,0.0,0,0.0,1,,P003,113041.0
T00104,U00614,2025-06-26 20:24:22,GoFood,M00212,I00546|I00435,52805,3156.47,3156.47,0,0.0,0,0.0,0,,,55961.47
T00105,U00640,2025-06-21 07:48:05,GoFood,M00025,I00259|I00292,163747,10187.1,10187.1,0,0.0,0,0.0,0,,,173934.1
T00106,U00074,2025-06-14 13:44:49,GoCar,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00107,U00641,2025-06-05 14:04:56,GoFood,M00294,I00755|I00712|I00582,206355,8802.48,8802.48,0,0.0,0,0.0,0,,,215157.48
T00108,U00549,2025-06-29 08:35:19,GoCar,,,0,0.0,0.0,0,0.0,0,0.0,1,,P013,5000.0
T00109,U00364,2025-06-12 23:00:15,GoFood,M00240,I00889|I00203|I00101,163752,4288.96,4288.96,0,0.0,0,0.0,0,,,168040.96
T00110,U00679,2025-06-12 06:35:05,GoFood,M00192,I00882|I00723|I00217,159726,11000.08,11000.08,0,0.0,0,0.0,0,,,170726.08
T00111,U00013,2025-06-24 10:32:20,GoCar,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00112,U00652,2025-06-14 23:55:18,GoFood,M00087,I00163|I00422|I00053,110439,6024.44,6024.44,0,0.0,0,0.0,0,,,116463.44
T00113,U00330,2025-06-09 20:33:53,GoFood,M00059,I00154,125111,4419.7,0.0,20,25022.2,0,0.0,1,P043,P015,100088.8
T00114,U00255,2025-06-29 04:41:37,GoCar,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00115,U00013,2025-06-17 22:10:02,GoCar,,,0,0.0,0.0,0,0.0,10,0.0,1,P011,P013,5000.0
T00116,U00553,2025-06-09 18:29:21,GoFood,M00309,I00273|I00743|I00450,139567,9335.31,9335.31,0,0.0,0,0.0,0,,,148902.31
T00117,U00221,2025-06-23 18:53:59,GoRide,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00118,U00725,2025-06-14 16:12:48,GoCar,,,0,0.0,0.0,0,0.0,0,0.0,1,,P034,5000.0
T00119,U00119,2025-06-23 08:23:46,GoRide,,,0,0.0,0.0,20,0.0,0,0.0,0,P016,,5000.0
T00120,U00537,2025-06-26 21:23:02,GoCar,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00121,U00238,2025-06-30 23:03:14,GoCar,,,0,0.0,0.0,0,0.0,0,0.0,1,,P013,5000.0
T00122,U00025,2025-06-05 02:52:59,GoCar,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00123,U00612,2025-06-28 14:47:00,GoFood,M00206,I00065,58392,3582.65,3582.65,15,8758.8,0,0.0,0,P040,,53215.85
T00124,U00081,2025-06-15 18:58:04,GoFood,M00258,I00610,19669,7222.07,7222.07,0,0.0,0,0.0,0,,,26891.07
T00125,U00632,2025-06-14 20:24:06,GoFood,M00284,I00654,48229,3864.18,3864.18,0,0.0,10,4822.9,0,P024,,52093.18
T00126,U00800,2025-06-09 20:33:14,GoFood,M00054,I00027|I00578,181487,3501.06,0.0,0,0.0,5,9074.35,1,P014,P003,181487.0
T00127,U00023,2025-06-07 13:03:10,GoFood,M00175,I00543,49068,9350.75,9350.75,0,0.0,0,0.0,0,,,58418.75
T00128,U00228,2025-06-07 11:45:14,GoFood,M00061,I00876,84370,10671.39,10671.39,0,0.0,0,0.0,0,,,95041.39
T00129,U00137,2025-06-15 06:54:52,GoRide,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00130,U00589,2025-06-13 10:10:49,GoRide,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00131,U00351,2025-06-19 14:46:59,GoFood,M00027,I00649|I00306|I00522,129138,3801.84,3801.84,0,0.0,0,0.0,0,,,132939.84
T00132,U00523,2025-06-11 12:01:52,GoFood,M00075,I00655|I00768|I00161,105735,4927.66,4927.66,0,0.0,0,0.0,0,,,110662.66
T00133,U00296,2025-06-11 22:48:12,GoFood,M00181,I00594|I00025|I00285,152533,2700.15,2700.15,15,22879.95,0,0.0,0,P032,,132353.2
T00134,U00245,2025-06-18 13:22:23,GoFood,M00065,I00549,38255,8062.4,0.0,10,3825.5,0,0.0,1,P033,P057,34429.5
T00135,U00198,2025-06-09 21:32:52,GoRide,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00136,U00329,2025-06-19 16:16:20,GoRide,,,0,0.0,0.0,10,0.0,0,0.0,0,P006,,5000.0
T00137,U00599,2025-06-20 11:06:20,GoRide,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00138,U00457,2025-06-25 19:41:59,GoCar,,,0,0.0,0.0,0,0.0,5,0.0,0,P001,,5000.0
T00139,U00197,2025-06-02 23:48:45,GoFood,M00168,I00061|I00642|I00138,203913,5540.45,5540.45,20,30000.0,0,0.0,0,P036,,179453.45
T00140,U00641,2025-06-18 19:47:27,GoFood,M00265,I00857|I00052,84819,10923.0,10923.0,0,0.0,10,8481.9,0,P051,,95742.0
T00141,U00766,2025-06-06 07:41:01,GoRide,,,0,0.0,0.0,0,0.0,0,0.0,1,,P030,5000.0
T00142,U00199,2025-06-20 13:17:30,GoRide,,,0,0.0,0.0,20,0.0,0,0.0,0,P007,,5000.0
T00143,U00145,2025-06-17 22:56:17,GoCar,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00144,U00311,2025-06-14 11:35:54,GoFood,M00200,I00014|I00570|I00759,140940,3137.52,3137.52,0,0.0,0,0.0,0,,,144077.52
T00145,U00332,2025-06-28 20:34:58,GoFood,M00157,I00551,104144,8420.25,8420.25,0,0.0,0,0.0,0,,,112564.25
T00146,U00712,2025-06-19 16:52:22,GoFood,M00173,I00376|I00152|I00217,104831,10990.32,10990.32,0,0.0,0,0.0,0,,,115821.32
T00147,U00656,2025-06-18 15:24:18,GoFood,M00070,I00675|I00005|I00284,144746,4795.59,0.0,0,0.0,15,21711.9,1,P005,P034,144746.0
T00148,U00753,2025-06-12 20:38:01,GoRide,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00149,U00500,2025-06-10 10:41:43,GoRide,,,0,0.0,0.0,20,0.0,0,0.0,1,P021,P030,5000.0
T00150,U00051,2025-06-10 17:21:07,GoRide,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00151,U00698,2025-06-20 20:33:18,GoFood,M00022,I00605|I00765|I00464,155025,2746.62,2746.62,0,0.0,0,0.0,0,,,157771.62
T00152,U00493,2025-06-11 14:14:08,GoFood,M00135,I00422|I00647,83755,10834.13,10834.13,0,0.0,0,0.0,0,,,94589.13
T00153,U00587,2025-06-29 12:38:09,GoFood,M00223,I00308,29469,10674.24,10674.24,0,0.0,0,0.0,0,,,40143.24
T00154,U00356,2025-06-08 21:38:55,GoFood,M00290,I00453,16820,7498.5,7498.5,0,0.0,0,0.0,0,,,24318.5
T00155,U00177,2025-06-13 20:23:34,GoRide,,,0,0.0,0.0,15,0.0,0,0.0,1,P009,P048,5000.0
T00156,U00496,2025-06-06 15:33:56,GoFood,M00158,I00688|I00198,96964,10548.48,10548.48,0,0.0,0,0.0,0,,,107512.48
T00157,U00199,2025-06-14 21:05:35,GoFood,M00222,I00058,34196,10984.53,10984.53,0,0.0,10,3419.6,0,P047,,45180.53
T00158,U00542,2025-06-24 17:03:02,GoRide,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00159,U00462,2025-06-10 16:35:12,GoRide,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00160,U00156,2025-06-15 09:31:01,GoRide,,,0,0.0,0.0,15,0.0,0,0.0,0,P041,,5000.0
T00161,U00726,2025-06-21 16:47:38,GoFood,M00228,I00007|I00752|I00470,127007,5405.4,5405.4,0,0.0,0,0.0,0,,,132412.4
T00162,U00190,2025-06-18 10:13:40,GoFood,M00127,I00510,138855,11212.11,0.0,10,13885.5,0,0.0,1,P046,P030,124969.5
T00163,U00396,2025-06-27 18:58:50,GoFood,M00193,I00671|I00718,77329,7451.18,0.0,0,0.0,0,0.0,1,,P030,77329.0
T00164,U00649,2025-06-29 22:37:40,GoCar,,,0,0.0,0.0,15,0.0,0,0.0,0,P006,,5000.0
T00165,U00610,2025-06-29 07:44:51,GoRide,,,0,0.0,0.0,10,0.0,0,0.0,0,P038,,5000.0
T00166,U00718,2025-06-13 18:51:49,GoFood,M00305,I00111,38607,10136.63,10136.63,10,3860.7,0,0.0,0,P044,,44882.93
T00167,U00583,2025-06-19 13:40:56,GoFood,M00243,I00241|I00529,51230,9922.24,0.0,0,0.0,15,7684.5,1,P028,P057,51230.0
T00168,U00223,2025-06-07 16:36:31,GoFood,M00134,I00151|I00326,150945,6246.15,6246.15,0,0.0,0,0.0,0,,,157191.15
T00169,U00794,2025-06-12 21:53:19,GoCar,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00170,U00730,2025-06-17 15:30:03,GoFood,M00315,I00886|I00822,102632,7076.9,7076.9,10,10263.2,0,0.0,0,P041,,99445.7
T00171,U00077,2025-06-16 21:47:49,GoFood,M00286,I00087|I00313|I00771,143761,7170.47,0.0,0,0.0,0,0.0,1,,P048,143761.0
T00172,U00777,2025-06-07 08:46:26,GoCar,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00173,U00526,2025-06-01 23:57:47,GoRide,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00174,U00580,2025-06-21 20:29:12,GoFood,M00095,I00292,132507,11272.31,11272.31,0,0.0,5,6625.35,0,P056,,143779.31
T00175,U00037,2025-06-22 08:04:21,GoRide,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00176,U00690,2025-06-19 20:28:34,GoCar,,,0,0.0,0.0,20,0.0,0,0.0,0,P059,,5000.0
T00177,U00291,2025-06-13 21:29:42,GoRide,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00178,U00350,2025-06-02 23:28:42,GoFood,M00251,I00261|I00340,167535,7144.1,7144.1,0,0.0,0,0.0,0,,,174679.1
T00179,U00390,2025-06-22 23:03:29,GoFood,M00076,I00002,39397,10870.85,10870.85,0,0.0,0,0.0,0,,,50267.85
T00180,U00769,2025-06-25 18:24:14,GoFood,M00031,I00174|I00696|I00629,222758,9593.73,0.0,15,30000.0,0,0.0,1,P045,P030,192758.0
T00181,U00783,2025-06-08 07:09:47,GoRide,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00182,U00681,2025-06-23 12:09:03,GoFood,M00114,I00634,32272,2738.76,2738.76,0,0.0,0,0.0,0,,,35010.76
T00183,U00023,2025-06-08 06:46:34,GoFood,M00194,I00613,128385,3016.64,3016.64,0,0.0,0,0.0,0,,,131401.64
T00184,U00323,2025-06-23 22:05:04,GoRide,,,0,0.0,0.0,0,0.0,0,0.0,1,,P003,5000.0
T00185,U00290,2025-06-08 21:01:40,GoCar,,,0,0.0,0.0,20,0.0,0,0.0,1,P016,P003,5000.0
T00186,U00163,2025-06-02 08:25:06,GoRide,,,0,0.0,0.0,0,0.0,5,0.0,0,P058,,5000.0
T00187,U00630,2025-06-15 21:10:15,GoFood,M00232,I00298,52690,4689.53,0.0,0,0.0,5,2634.5,1,P001,P057,52690.0
T00188,U00466,2025-06-20 15:08:02,GoFood,M00099,I00475,124508,6783.31,6783.31,0,0.0,0,0.0,0,,,131291.31
T00189,U00576,2025-06-27 11:52:44,GoRide,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00190,U00213,2025-06-22 21:10:52,GoFood,M00199,I00634|I00813,144361,2712.16,0.0,0,0.0,15,21654.15,1,P005,P034,144361.0
T00191,U00328,2025-06-01 08:59:26,GoRide,,,0,0.0,0.0,0,0.0,5,0.0,0,P014,,5000.0
T00192,U00486,2025-06-03 07:42:01,GoFood,M00098,I00032,53690,3189.47,3189.47,0,0.0,0,0.0,0,,,56879.47
T00193,U00366,2025-06-23 18:46:37,GoCar,,,0,0.0,0.0,15,0.0,0,0.0,1,P008,P057,5000.0
T00194,U00584,2025-06-22 07:59:03,GoCar,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00195,U00389,2025-06-25 12:56:59,GoFood,M00246,I00470|I00727|I00824,132211,10828.56,10828.56,0,0.0,0,0.0,0,,,143039.56
T00196,U00651,2025-06-16 07:45:50,GoFood,M00308,I00007|I00895,71905,5512.28,5512.28,20,14381.0,0,0.0,0,P036,,63036.28
T00197,U00084,2025-06-16 21:47:51,GoFood,M00105,I00099|I00439|I00229,141795,7436.01,7436.01,0,0.0,0,0.0,0,,,149231.01
T00198,U00628,2025-06-13 16:28:28,GoRide,,,0,0.0,0.0,0,0.0,10,0.0,0,P026,,5000.0
T00199,U00340,2025-06-29 07:12:49,GoRide,,,0,0.0,0.0,10,0.0,0,0.0,1,P009,P034,5000.0
T00200,U00144,2025-06-08 13:29:19,GoFood,M00124,I00399|I00450,76379,4371.64,4371.64,0,0.0,0,0.0,0,,,80750.64
T00201,U00391,2025-06-02 22:10:23,GoFood,M00151,I00580|I00277,104869,4438.46,4438.46,20,20973.8,0,0.0,0,P021,,88333.66
T00202,U00080,2025-06-25 13:28:10,GoFood,M00258,I00551|I00361,150124,9725.22,9725.22,10,15012.4,0,0.0,0,P007,,144836.82
